model,stability_mean,stability_std,n_pairwise_fold_comparisons
Logistic Regression,0.42760214284129744,0.07652488888744319,10
Linear SVM,0.42715865274263487,0.071459072973422,10
XGBoost,0.416534538670245,0.0654105305677936,10
