model,recall,precision,threshold,baseline_death_rate
logistic_regression,1.0,0.14625,0.0002163377361013,0.14625
logistic_regression,1.0,0.1462865716429107,0.0005807435949972,0.14625
logistic_regression,1.0,0.1463231615807904,0.0008224640294638,0.14625
logistic_regression,1.0,0.1463597698273705,0.0034672708129727,0.14625
logistic_regression,1.0,0.1463963963963964,0.0049224513129865,0.14625
logistic_regression,1.0,0.146433041301627,0.0054212135745506,0.14625
logistic_regression,1.0,0.1464697045568352,0.0059751238939474,0.14625
logistic_regression,1.0,0.1465063861758076,0.0067069107418552,0.14625
logistic_regression,1.0,0.1465430861723446,0.0071163910685495,0.14625
logistic_regression,1.0,0.1465798045602606,0.0074176693049209,0.14625
logistic_regression,1.0,0.1466165413533834,0.0079379797798039,0.14625
logistic_regression,1.0,0.1466532965655552,0.0089178560737577,0.14625
logistic_regression,1.0,0.1466900702106319,0.0090947810175524,0.14625
logistic_regression,1.0,0.146726862302483,0.0093750070908866,0.14625
logistic_regression,1.0,0.1467636728549924,0.0095203614753555,0.14625
logistic_regression,1.0,0.1468005018820577,0.0096026166024672,0.14625
logistic_regression,1.0,0.1468373493975903,0.009749644519526,0.14625
logistic_regression,1.0,0.1468742154155159,0.0102396590525563,0.14625
logistic_regression,1.0,0.1469110999497739,0.0103603051057181,0.14625
logistic_regression,1.0,0.146948003014318,0.0104455097583256,0.14625
logistic_regression,1.0,0.1469849246231155,0.0107909771101785,0.14625
logistic_regression,1.0,0.1470218647901482,0.0108739114742626,0.14625
logistic_regression,1.0,0.1470588235294117,0.010886422407439,0.14625
logistic_regression,1.0,0.1470958008549157,0.0114447340869673,0.14625
logistic_regression,1.0,0.1471327967806841,0.0115576521720947,0.14625
logistic_regression,1.0,0.1471698113207547,0.011674736643569,0.14625
logistic_regression,1.0,0.1472068444891796,0.011906961672492,0.14625
logistic_regression,1.0,0.1472438963000251,0.0120168204122276,0.14625
logistic_regression,1.0,0.1472809667673716,0.0121270091290379,0.14625
logistic_regression,1.0,0.1473180559053135,0.0125232864882082,0.14625
logistic_regression,1.0,0.1473551637279597,0.0125702706752882,0.14625
logistic_regression,1.0,0.1473922902494331,0.0127796523052971,0.14625
logistic_regression,1.0,0.1474294354838709,0.0128167511647957,0.14625
logistic_regression,1.0,0.1474665994454247,0.0129162835704806,0.14625
logistic_regression,1.0,0.1475037821482602,0.0129566699051946,0.14625
logistic_regression,1.0,0.1475409836065573,0.0130839407075068,0.14625
logistic_regression,1.0,0.1475782038345106,0.0135425681317722,0.14625
logistic_regression,1.0,0.1476154428463285,0.0135742831775366,0.14625
logistic_regression,1.0,0.1476527006562342,0.0136384288831451,0.14625
logistic_regression,1.0,0.147689977278465,0.0136648557163573,0.14625
logistic_regression,1.0,0.1477272727272727,0.0137687551383832,0.14625
logistic_regression,1.0,0.1477645870169234,0.0139184673324987,0.14625
logistic_regression,1.0,0.1478019201616978,0.0140612582868852,0.14625
logistic_regression,1.0,0.1478392721758908,0.0140697900098637,0.14625
logistic_regression,1.0,0.1478766430738119,0.0144936929278901,0.14625
logistic_regression,1.0,0.147914032869785,0.0145111644593812,0.14625
logistic_regression,1.0,0.1479514415781487,0.014605321237323,0.14625
logistic_regression,1.0,0.1479888692132557,0.014835232073838,0.14625
logistic_regression,1.0,0.1480263157894736,0.0149791450216564,0.14625
logistic_regression,1.0,0.1480637813211845,0.0150469273259569,0.14625
logistic_regression,1.0,0.1481012658227848,0.0150694743975922,0.14625
logistic_regression,1.0,0.1481387693086857,0.0151745809973209,0.14625
logistic_regression,1.0,0.148176291793313,0.015508062109403,0.14625
logistic_regression,1.0,0.1482138332911071,0.015818765834221,0.14625
logistic_regression,1.0,0.148251393816523,0.0158223372205432,0.14625
logistic_regression,1.0,0.1482889733840304,0.0158315304990078,0.14625
logistic_regression,1.0,0.1483265720081135,0.0158367936229554,0.14625
logistic_regression,1.0,0.1483641897032716,0.0158930895302396,0.14625
logistic_regression,1.0,0.1484018264840182,0.0159147030763467,0.14625
logistic_regression,1.0,0.148439482364882,0.0160160049282349,0.14625
logistic_regression,1.0,0.1484771573604061,0.0161355524681258,0.14625
logistic_regression,1.0,0.1485148514851485,0.0161411989998608,0.14625
logistic_regression,1.0,0.148552564753682,0.0164845287947592,0.14625
logistic_regression,1.0,0.1485902971805943,0.0166118958146368,0.14625
logistic_regression,1.0,0.1486280487804878,0.0166230754570451,0.14625
logistic_regression,1.0,0.1486658195679796,0.0166434075899591,0.14625
logistic_regression,1.0,0.1487036095577021,0.016895278017422,0.14625
logistic_regression,1.0,0.148741418764302,0.016929584928636,0.14625
logistic_regression,1.0,0.1487792472024415,0.0169926319546322,0.14625
logistic_regression,1.0,0.1488170948867972,0.0171265319587692,0.14625
logistic_regression,1.0,0.148854961832061,0.0172844795848286,0.14625
logistic_regression,1.0,0.1488928480529396,0.0173832312558407,0.14625
logistic_regression,1.0,0.1489307535641547,0.017485687649839,0.14625
logistic_regression,1.0,0.1489686783804431,0.0175043745777481,0.14625
logistic_regression,1.0,0.1490066225165563,0.0175072645150507,0.14625
logistic_regression,1.0,0.1490445859872611,0.0175755397982617,0.14625
logistic_regression,1.0,0.1490825688073394,0.017760103192687,0.14625
logistic_regression,1.0,0.149120570991588,0.0177972213116801,0.14625
logistic_regression,1.0,0.1491585925548189,0.0178354088267311,0.14625
logistic_regression,1.0,0.1491966335118592,0.0178372524679801,0.14625
logistic_regression,1.0,0.149234693877551,0.0178524422550087,0.14625
logistic_regression,1.0,0.1492727736667517,0.0178826816800614,0.14625
logistic_regression,1.0,0.1493108728943338,0.0180073176789514,0.14625
logistic_regression,1.0,0.149348991575185,0.0180526274186877,0.14625
logistic_regression,1.0,0.1493871297242083,0.0180645004677446,0.14625
logistic_regression,1.0,0.1494252873563218,0.0183030344636602,0.14625
logistic_regression,1.0,0.1494634644864588,0.0183525420800776,0.14625
logistic_regression,1.0,0.1495016611295681,0.0184410572000873,0.14625
logistic_regression,1.0,0.1495398773006135,0.0186337327367504,0.14625
logistic_regression,1.0,0.1495781130145742,0.0186906664271315,0.14625
logistic_regression,1.0,0.149616368286445,0.0186981426550063,0.14625
logistic_regression,1.0,0.1496546431312356,0.018792001312188,0.14625
logistic_regression,1.0,0.1496929375639713,0.0188241835314323,0.14625
logistic_regression,1.0,0.1497312515996928,0.0188809960540569,0.14625
logistic_regression,1.0,0.1497695852534562,0.0188996955928443,0.14625
logistic_regression,1.0,0.1498079385403329,0.01897359562888,0.14625
logistic_regression,1.0,0.1498463114754098,0.0190132233113391,0.14625
logistic_regression,1.0,0.1498847040737894,0.0191543165649704,0.14625
logistic_regression,1.0,0.1499231163505894,0.0192806532890639,0.14625
logistic_regression,1.0,0.1499615483209433,0.01933657417548,0.14625
logistic_regression,1.0,0.15,0.0193696693050337,0.14625
logistic_regression,1.0,0.1500384714029238,0.0194272185965993,0.14625
logistic_regression,1.0,0.1500769625448948,0.0195728878786314,0.14625
logistic_regression,1.0,0.1501154734411085,0.0195930040675641,0.14625
logistic_regression,1.0,0.1501540041067761,0.0196064973712526,0.14625
logistic_regression,1.0,0.1501925545571245,0.0196320643953625,0.14625
logistic_regression,1.0,0.150231124807396,0.0197272923870653,0.14625
logistic_regression,1.0,0.1502697148728487,0.0198524169122721,0.14625
logistic_regression,1.0,0.1503083247687564,0.0200568106535342,0.14625
logistic_regression,1.0,0.1503469545104086,0.0203120387731582,0.14625
logistic_regression,1.0,0.1503856041131105,0.0204336389997828,0.14625
logistic_regression,1.0,0.150424273592183,0.0204579504701319,0.14625
logistic_regression,1.0,0.1504629629629629,0.0205714613269877,0.14625
logistic_regression,1.0,0.1505016722408027,0.0206392671181719,0.14625
logistic_regression,1.0,0.1505404014410705,0.020648484231642,0.14625
logistic_regression,1.0,0.1505791505791505,0.0207311393308777,0.14625
logistic_regression,1.0,0.1506179196704428,0.0207340921868214,0.14625
logistic_regression,1.0,0.1506567087303631,0.0208360559485403,0.14625
logistic_regression,1.0,0.1506955177743431,0.020870171809231,0.14625
logistic_regression,1.0,0.1507343468178304,0.0211749797684575,0.14625
logistic_regression,1.0,0.1507731958762886,0.0212178625813724,0.14625
logistic_regression,1.0,0.1508120649651972,0.0212675509317024,0.14625
logistic_regression,1.0,0.1508509541000515,0.0212969792720609,0.14625
logistic_regression,1.0,0.1508898632963631,0.0214605574756807,0.14625
logistic_regression,1.0,0.1509287925696594,0.0215515555454791,0.14625
logistic_regression,1.0,0.1509677419354838,0.0215840550735856,0.14625
logistic_regression,1.0,0.1510067114093959,0.0216125912470037,0.14625
logistic_regression,1.0,0.1510457010069713,0.0216702469366819,0.14625
logistic_regression,1.0,0.1510847107438016,0.0216923179928891,0.14625
logistic_regression,1.0,0.1511237406354947,0.0217331791157255,0.14625
logistic_regression,1.0,0.1511627906976744,0.021737542780825,0.14625
logistic_regression,1.0,0.1512018609459808,0.021812327366734,0.14625
logistic_regression,1.0,0.1512409513960703,0.0218231687376884,0.14625
logistic_regression,1.0,0.1512800620636152,0.0219005035101621,0.14625
logistic_regression,1.0,0.1513191929643041,0.0219824132871032,0.14625
logistic_regression,1.0,0.1513583441138421,0.0220285151291755,0.14625
logistic_regression,1.0,0.1513975155279503,0.0221226009538389,0.14625
logistic_regression,1.0,0.151436707222366,0.0222032468220396,0.14625
logistic_regression,1.0,0.1514759192128431,0.0224199810202179,0.14625
logistic_regression,1.0,0.1515151515151515,0.022446643793236,0.14625
logistic_regression,1.0,0.1515544041450777,0.0224580909926316,0.14625
logistic_regression,1.0,0.1515936771184244,0.0224706528895351,0.14625
logistic_regression,1.0,0.1516329704510108,0.0224882289736438,0.14625
logistic_regression,1.0,0.1516722841586725,0.022559270680008,0.14625
logistic_regression,1.0,0.1517116182572614,0.0227945680914504,0.14625
logistic_regression,1.0,0.1517509727626459,0.0227978918272121,0.14625
logistic_regression,1.0,0.1517903476907109,0.0228155674134135,0.14625
logistic_regression,1.0,0.1518297430573579,0.0228432684972571,0.14625
logistic_regression,1.0,0.1518691588785046,0.0229526926591161,0.14625
logistic_regression,1.0,0.1519085951700857,0.0229553893994132,0.14625
logistic_regression,1.0,0.1519480519480519,0.0232746327309529,0.14625
logistic_regression,1.0,0.151987529228371,0.0233005662280538,0.14625
logistic_regression,1.0,0.152027027027027,0.0233331093974008,0.14625
logistic_regression,1.0,0.1520665453600208,0.0233938590789512,0.14625
logistic_regression,1.0,0.1521060842433697,0.0234650017387644,0.14625
logistic_regression,1.0,0.1521456436931079,0.0234979100170401,0.14625
logistic_regression,1.0,0.1521852237252861,0.023663608726824,0.14625
logistic_regression,1.0,0.1522248243559719,0.02376638003003,0.14625
logistic_regression,1.0,0.1522644456012493,0.0238992647405089,0.14625
logistic_regression,1.0,0.1523040874772194,0.0242249140016352,0.14625
logistic_regression,1.0,0.15234375,0.024234617396565,0.14625
logistic_regression,1.0,0.1523834331857254,0.0242651441216297,0.14625
logistic_regression,1.0,0.1524231370505471,0.024311617428101,0.14625
logistic_regression,1.0,0.1524628616106333,0.0243859087297943,0.14625
