statistical_parity_difference,disparate_impact_ratio,equal_opportunity_difference,average_odds_difference,selection_rate_privileged,selection_rate_unprivileged,tpr_privileged,tpr_unprivileged,fpr_privileged,fpr_unprivileged,metric_backend,model,attribute,comparison,privileged_or_reference_group,unprivileged_or_comparison_group,n_included,positive_label_meaning
0.16335486381244918,1.8250509654954101,0.08040027605244993,0.10658743522265081,0.1979936642027455,0.3613485280151947,0.7053140096618358,0.7857142857142857,0.13574392412566685,0.26851851851851855,formula_equivalent_to_aif360_definitions,XGBoost,Age,>65 vs <=65,<=65,not <=65,4000,in-hospital death / predicted high-risk flag
0.03533087727564438,1.131634104632334,0.00807017543859656,0.01545147202497002,0.26840215439856374,0.3037330316742081,0.7533333333333333,0.7614035087719299,0.19294605809128632,0.2157788267026298,formula_equivalent_to_aif360_definitions,XGBoost,Gender,Female vs Male,Male,not Male,3996,in-hospital death / predicted high-risk flag
0.24627871941390655,3.690595009596929,0.114059853190288,0.15111191214534017,0.09153318077803203,0.3378119001919386,0.6521739130434783,0.7662337662337663,0.06038647342995169,0.24855044453034403,formula_equivalent_to_aif360_definitions,XGBoost,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,not Cardiac Surgery Recovery Unit,4000,in-hospital death / predicted high-risk flag
0.05664461604344162,1.2401412595644496,0.18860634624869843,0.10294981372343345,0.23588039867109634,0.29252501471453796,0.5915492957746479,0.7801556420233463,0.18832391713747645,0.20561719833564493,formula_equivalent_to_aif360_definitions,XGBoost,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,not Coronary Care Unit,4000,in-hospital death / predicted high-risk flag
-0.21626843448667044,0.49217514359443937,-0.1137527175818781,-0.14388610938922625,0.4258720930232558,0.20960365853658536,0.8144329896907216,0.7006802721088435,0.3216589861751152,0.14763948497854076,formula_equivalent_to_aif360_definitions,XGBoost,ICUType,Other vs Medical ICU,Medical ICU,not Medical ICU,4000,in-hospital death / predicted high-risk flag
-0.0024043277900220317,0.9915848527349229,0.0002907942838151767,0.0023351267978379137,0.2857142857142857,0.28330995792426367,0.7570621468926554,0.7573529411764706,0.19979402677651906,0.2041734860883797,formula_equivalent_to_aif360_definitions,XGBoost,ICUType,Other vs Surgical ICU,Surgical ICU,not Surgical ICU,4000,in-hospital death / predicted high-risk flag
