config_id,best_epoch,selection_score,val_loss,val_roc_auc,val_pr_auc,val_accuracy,val_precision,val_recall,val_f1,val_brier_score,hidden_dims,dropout_rate,learning_rate,weight_decay,batch_size,pos_weight_mode,pos_weight_value
0,7,0.8340244382612745,0.2862965285778046,0.8643486555232558,0.5449881834473688,0.884375,0.6326530612244898,0.41517857142857145,0.5013477088948787,0.0866406207485181,[64],0.1,0.001,0.001,128,none,1.0
3,5,0.8323890461165142,0.2870713520050049,0.8628302792774086,0.5274393500140427,0.88125,0.6307692307692307,0.36607142857142855,0.4632768361581921,0.08697495188826969,[64],0.1,0.001,0.003,128,none,1.0
5,9,0.8315121987221914,0.29764546871185305,0.8633428934800664,0.5268017670360555,0.875,0.5697674418604651,0.4375,0.494949494949495,0.09094484216535709,"[64, 32]",0.1,0.001,0.001,128,none,1.0
2,21,0.8313192074115799,0.2978870916366577,0.8622397996262458,0.5296709866802931,0.880625,0.6078431372549019,0.41517857142857145,0.493368700265252,0.08834454918475938,[64],0.15,0.001,0.001,128,none,1.0
4,18,0.8297902117549312,0.2963425660133362,0.8606111139950167,0.5401318383149147,0.885,0.6190476190476191,0.4642857142857143,0.5306122448979592,0.08805972068595842,[64],0.1,0.0007,0.001,128,none,1.0
6,13,0.8287363395765456,0.5094876217842103,0.8626453488372094,0.528807754305566,0.860625,0.5020080321285141,0.5580357142857143,0.5285412262156448,0.09688288360189669,[64],0.1,0.001,0.001,128,sqrt_balanced,2.4752674148575706
1,5,0.8276790113404654,0.2919521224498749,0.8587682983803988,0.5118294956463496,0.87625,0.6065573770491803,0.33035714285714285,0.4277456647398844,0.0888265343998096,[32],0.1,0.001,0.001,128,none,1.0
