split,roc_auc,pr_auc,accuracy,precision,recall,f1,brier_score
internal_train_used_for_fit,0.9240134585601185,0.7218232980789999,0.89671875,0.6072398190045248,0.7472160356347439,0.6699950074887668,0.06756286236058434
internal_validation_used_for_tuning,0.8643486555232558,0.5449881834473688,0.86,0.5,0.625,0.5555555555555556,0.0866406207485181
external_X_test_final,0.866850871594649,0.5461395141452586,0.85075,0.4915492957746479,0.5965811965811966,0.538996138996139,0.09093751581891249
