model,bin_id,mean_predicted_probability,observed_event_rate
mlp,0,0.005314311175607145,0.0025
mlp,1,0.009115077607566491,0.01
mlp,2,0.014214230105280876,0.0175
mlp,3,0.02222939404658973,0.025
mlp,4,0.03587801048997789,0.0375
mlp,5,0.0629397796653211,0.08
mlp,6,0.10939016684889794,0.125
mlp,7,0.19718416765332222,0.2375
mlp,8,0.36574906192719936,0.3425
mlp,9,0.6544113612920046,0.585
