model,feature,xgb_feature_importance
xgboost_auc_optimized,K_median,0.0037420604
xgboost_auc_optimized,NIMAP_first,0.0037412008
xgboost_auc_optimized,PaCO2_std,0.0037138183
xgboost_auc_optimized,K_first,0.0037100387
xgboost_auc_optimized,HR_count,0.0037094255
xgboost_auc_optimized,Lactate_first,0.0036927143
xgboost_auc_optimized,Creatinine_min,0.0036912966
xgboost_auc_optimized,NISysABP_count,0.0036839151
xgboost_auc_optimized,Platelets_count,0.0036791544
xgboost_auc_optimized,static_Height,0.0036696356
xgboost_auc_optimized,HR_std,0.0036482844
xgboost_auc_optimized,WBC_median,0.0036408317
xgboost_auc_optimized,HCO3_min,0.0036195803
xgboost_auc_optimized,SysABP_first,0.003617753
xgboost_auc_optimized,Glucose_min,0.0036158178
xgboost_auc_optimized,pH_min,0.0036025823
xgboost_auc_optimized,SysABP_std,0.003559277
xgboost_auc_optimized,PaCO2_max,0.0035439832
xgboost_auc_optimized,Urine_first,0.003535212
xgboost_auc_optimized,MAP_first,0.0035087115
xgboost_auc_optimized,PaCO2_first,0.0034945565
xgboost_auc_optimized,n_unique_parameters,0.0034742544
xgboost_auc_optimized,Mg_count,0.003470049
xgboost_auc_optimized,BUN_std,0.0034221679
xgboost_auc_optimized,DiasABP_std,0.0034175056
xgboost_auc_optimized,Platelets_last,0.003404499
xgboost_auc_optimized,K_last,0.0033929641
xgboost_auc_optimized,Na_std,0.0033747144
xgboost_auc_optimized,NIMAP_count,0.0033719281
xgboost_auc_optimized,NISysABP_std,0.0033666072
xgboost_auc_optimized,DiasABP_mean,0.0033661562
xgboost_auc_optimized,WBC_first,0.0033632605
xgboost_auc_optimized,Temp_std,0.0033548845
xgboost_auc_optimized,BUN_count,0.003354723
xgboost_auc_optimized,MechVent_count,0.00333996
xgboost_auc_optimized,SysABP_min,0.0033269667
xgboost_auc_optimized,Lactate_mean,0.0033072236
xgboost_auc_optimized,HR_first,0.0032922
xgboost_auc_optimized,NIMAP_median,0.0032833624
xgboost_auc_optimized,HCO3_std,0.0032826818
xgboost_auc_optimized,WBC_count,0.0032782212
xgboost_auc_optimized,Glucose_mean,0.0032623156
xgboost_auc_optimized,NIDiasABP_max,0.0032377692
xgboost_auc_optimized,n_valid_values,0.003234714
xgboost_auc_optimized,HCO3_max,0.003208664
xgboost_auc_optimized,WBC_std,0.0032023748
xgboost_auc_optimized,Mg_mean,0.0031877067
xgboost_auc_optimized,DiasABP_last,0.0031831344
xgboost_auc_optimized,NIMAP_max,0.003107408
xgboost_auc_optimized,Urine_min,0.003061856
xgboost_auc_optimized,Na_min,0.003042413
xgboost_auc_optimized,HCT_min,0.0030385423
xgboost_auc_optimized,Glucose_max,0.0030334534
xgboost_auc_optimized,MAP_mean,0.0030331286
xgboost_auc_optimized,NISysABP_min,0.0030259427
xgboost_auc_optimized,WBC_max,0.0030157743
xgboost_auc_optimized,BUN_first,0.003013138
xgboost_auc_optimized,pH_std,0.0030123752
