config_id,best_epoch,selection_score,val_loss,val_roc_auc,val_pr_auc,val_accuracy,val_precision,val_recall,val_f1,val_brier_score,val_threshold,hidden_dims,dropout_rate,learning_rate,weight_decay,batch_size,pos_weight_mode,pos_weight_value
0,7,0.8426885003361263,0.2862965285778046,0.8643486555232558,0.5449881834473688,0.884375,0.6326530612244898,0.41517857142857145,0.5013477088948787,0.0866406207485181,0.5,[64],0.1,0.001,0.001,128,none,1.0
3,13,0.8406256828046872,0.5015588021278381,0.8655750363372093,0.5574217416088855,0.855625,0.48771929824561405,0.6205357142857143,0.5461689587426326,0.09979741413008879,0.5,"[64, 32]",0.3,0.0005,0.001,128,sqrt_balanced,2.4752674148575706
4,6,0.8396115446572514,0.5022046351432801,0.8646503841362126,0.5247756638859714,0.8525,0.4785714285714286,0.5982142857142857,0.5317460317460317,0.10015535791584504,0.5,"[128, 64]",0.3,0.0005,0.001,128,sqrt_balanced,2.4752674148575706
2,4,0.8368074556298751,0.4978662061691284,0.8626485932308969,0.5281981650887758,0.84375,0.45751633986928103,0.625,0.5283018867924528,0.103364550404087,0.5,"[64, 32]",0.2,0.001,0.001,128,sqrt_balanced,2.4752674148575706
1,17,0.8360621545851775,0.5083011198043823,0.8605819144518272,0.5344670293734735,0.855625,0.4860557768924303,0.5446428571428571,0.5136842105263157,0.09807903946659872,0.5,[64],0.2,0.0005,0.001,128,sqrt_balanced,2.4752674148575706
5,12,0.8356712151929528,0.5102729725837708,0.8605527149086378,0.542122704488008,0.855625,0.4868913857677903,0.5803571428571429,0.5295315682281059,0.09952599886274001,0.5,"[128, 64]",0.4,0.0003,0.01,128,sqrt_balanced,2.4752674148575706
6,12,0.8326679812149816,0.5227135610580445,0.8583611269725914,0.493810970512957,0.8475,0.46774193548387094,0.6473214285714286,0.5430711610486891,0.1027725830304389,0.5,"[128, 64, 32]",0.4,0.0003,0.01,128,sqrt_balanced,2.4752674148575706
7,14,0.8209593784941738,0.8703015327453614,0.8545213870431893,0.5330481576862659,0.809375,0.4004914004914005,0.7276785714285714,0.5166402535657686,0.134248034196062,0.5,"[64, 32]",0.3,0.0005,0.001,128,balanced,6.12694877505568
