model,fpr,tpr,threshold
xgboost_auc_optimized,0.0,0.0,inf
xgboost_auc_optimized,0.0,0.0017094017094017094,0.9493376
xgboost_auc_optimized,0.0,0.008547008547008548,0.93397325
xgboost_auc_optimized,0.00029282576866764275,0.008547008547008548,0.93279266
xgboost_auc_optimized,0.00029282576866764275,0.03076923076923077,0.8825997
xgboost_auc_optimized,0.0005856515373352855,0.03076923076923077,0.8814341
xgboost_auc_optimized,0.0005856515373352855,0.035897435897435895,0.8794415
xgboost_auc_optimized,0.0008784773060029283,0.035897435897435895,0.8767594
xgboost_auc_optimized,0.0008784773060029283,0.037606837606837605,0.876647
xgboost_auc_optimized,0.0014641288433382138,0.037606837606837605,0.8723973
xgboost_auc_optimized,0.0014641288433382138,0.046153846153846156,0.84961456
xgboost_auc_optimized,0.0020497803806734994,0.046153846153846156,0.8473909
xgboost_auc_optimized,0.0020497803806734994,0.05811965811965812,0.8232724
xgboost_auc_optimized,0.002342606149341142,0.05811965811965812,0.82113695
xgboost_auc_optimized,0.002342606149341142,0.07008547008547009,0.80084056
xgboost_auc_optimized,0.0026354319180087846,0.07008547008547009,0.80029833
xgboost_auc_optimized,0.0026354319180087846,0.07179487179487179,0.79521376
xgboost_auc_optimized,0.0029282576866764276,0.07179487179487179,0.7897789
xgboost_auc_optimized,0.0029282576866764276,0.09572649572649573,0.74481314
xgboost_auc_optimized,0.00322108345534407,0.09572649572649573,0.74231535
xgboost_auc_optimized,0.00322108345534407,0.11452991452991453,0.72788125
xgboost_auc_optimized,0.003513909224011713,0.11452991452991453,0.7265176
xgboost_auc_optimized,0.003513909224011713,0.11965811965811966,0.72543395
xgboost_auc_optimized,0.003806734992679356,0.11965811965811966,0.7251936
xgboost_auc_optimized,0.003806734992679356,0.14358974358974358,0.711258
xgboost_auc_optimized,0.004099560761346999,0.14358974358974358,0.7060197
xgboost_auc_optimized,0.004099560761346999,0.147008547008547,0.69913596
xgboost_auc_optimized,0.004392386530014641,0.147008547008547,0.69466907
xgboost_auc_optimized,0.004392386530014641,0.14871794871794872,0.69277745
xgboost_auc_optimized,0.004685212298682284,0.14871794871794872,0.69194984
xgboost_auc_optimized,0.004685212298682284,0.15042735042735042,0.6917238
xgboost_auc_optimized,0.004978038067349927,0.15042735042735042,0.6884784
xgboost_auc_optimized,0.004978038067349927,0.15384615384615385,0.6861932
xgboost_auc_optimized,0.005856515373352855,0.15384615384615385,0.6852412
xgboost_auc_optimized,0.005856515373352855,0.15726495726495726,0.6814698
xgboost_auc_optimized,0.00644216691068814,0.15726495726495726,0.68076736
xgboost_auc_optimized,0.00644216691068814,0.17264957264957265,0.66601837
xgboost_auc_optimized,0.006734992679355783,0.17264957264957265,0.66292316
xgboost_auc_optimized,0.006734992679355783,0.1811965811965812,0.65231043
xgboost_auc_optimized,0.007027818448023426,0.1811965811965812,0.6508126
xgboost_auc_optimized,0.007027818448023426,0.18632478632478633,0.64617807
xgboost_auc_optimized,0.007320644216691069,0.18632478632478633,0.64604163
xgboost_auc_optimized,0.007320644216691069,0.18803418803418803,0.6457707
xgboost_auc_optimized,0.007613469985358712,0.18803418803418803,0.64575577
xgboost_auc_optimized,0.007613469985358712,0.19145299145299147,0.6438779
