model,fpr,tpr,threshold
logistic_regression,0.0,0.0,inf
logistic_regression,0.0,0.0017094017094017,0.999825646946214
logistic_regression,0.0,0.0119658119658119,0.998543982398017
logistic_regression,0.0002928257686676,0.0119658119658119,0.9984061632967268
logistic_regression,0.0002928257686676,0.0273504273504273,0.9933748615138234
logistic_regression,0.0005856515373352,0.0273504273504273,0.993251778200702
logistic_regression,0.0005856515373352,0.0358974358974358,0.9907688449683768
logistic_regression,0.0008784773060029,0.0358974358974358,0.9900225432978678
logistic_regression,0.0008784773060029,0.0376068376068376,0.9898072690408322
logistic_regression,0.0011713030746705,0.0376068376068376,0.9897251531885236
logistic_regression,0.0011713030746705,0.0444444444444444,0.988264551220423
logistic_regression,0.0014641288433382,0.0444444444444444,0.9878745584577744
logistic_regression,0.0014641288433382,0.0478632478632478,0.9862289857702362
logistic_regression,0.0017569546120058,0.0478632478632478,0.9847489104692726
logistic_regression,0.0017569546120058,0.0598290598290598,0.981170898676111
logistic_regression,0.0020497803806734,0.0598290598290598,0.9810860772606312
logistic_regression,0.0020497803806734,0.0683760683760683,0.9784747589413256
logistic_regression,0.0023426061493411,0.0683760683760683,0.978260382365112
logistic_regression,0.0023426061493411,0.082051282051282,0.9747079938620804
logistic_regression,0.0026354319180087,0.082051282051282,0.9745985312436448
logistic_regression,0.0026354319180087,0.0871794871794871,0.9722720351319564
logistic_regression,0.0029282576866764,0.0871794871794871,0.9721567921974692
logistic_regression,0.0029282576866764,0.1042735042735042,0.969761493424362
logistic_regression,0.003221083455344,0.1042735042735042,0.9689602915184112
logistic_regression,0.003221083455344,0.1059829059829059,0.96787468371262
logistic_regression,0.0035139092240117,0.1059829059829059,0.9671371158671886
logistic_regression,0.0035139092240117,0.1162393162393162,0.9643770390155066
logistic_regression,0.0038067349926793,0.1162393162393162,0.9632002966159152
logistic_regression,0.0038067349926793,0.1179487179487179,0.9627709799613208
logistic_regression,0.0040995607613469,0.1179487179487179,0.9616114453867612
logistic_regression,0.0040995607613469,0.1196581196581196,0.9615949558201474
logistic_regression,0.0046852122986822,0.1196581196581196,0.9607231654532165
logistic_regression,0.0046852122986822,0.1401709401709401,0.955633091052122
logistic_regression,0.0052708638360175,0.1401709401709401,0.9539834963693298
logistic_regression,0.0052708638360175,0.1504273504273504,0.950547332400373
logistic_regression,0.0055636896046852,0.1504273504273504,0.949868021788536
logistic_regression,0.0055636896046852,0.1641025641025641,0.9452847456231234
logistic_regression,0.0058565153733528,0.1641025641025641,0.945086939474536
logistic_regression,0.0058565153733528,0.1658119658119658,0.944052254990964
logistic_regression,0.0061493411420204,0.1658119658119658,0.9437235356351168
logistic_regression,0.0061493411420204,0.1692307692307692,0.943304231833714
logistic_regression,0.0067349926793557,0.1692307692307692,0.9428339896970638
