model,class_or_average,precision,recall,f1-score,support
mlp,0,0.9282674772036474,0.894289897510981,0.9109619686800895,3415.0
mlp,1,0.4915492957746479,0.5965811965811966,0.538996138996139,585.0
mlp,accuracy,0.85075,0.85075,0.85075,0.85075
mlp,macro avg,0.7099083864891477,0.7454355470460887,0.7249790538381142,4000.0
mlp,weighted avg,0.8643974431696563,0.85075,0.8565619660888116,4000.0
