mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__C,param_logisticregression__class_weight,param_logisticregression__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5808637142181396,0.2774677535802384,0.11141042709350586,0.04419180877253297,0.01,,l1,"{'logisticregression__C': 0.01, 'logisticregression__class_weight': None, 'logisticregression__penalty': 'l1'}",0.8236380035299004,0.8182750207641196,0.8273723006644518,0.8477995959595959,0.8276816161616163,0.8289533074159368,0.010015763915794965,16,0.837995537561154,0.83713130434853,0.8364876833611427,0.8296631957718005,0.8363090083021504,0.8355173458689554,0.002986156514785125
1.5556071758270265,0.5464369527651817,0.08748970031738282,0.047912476633421706,0.01,,l2,"{'logisticregression__C': 0.01, 'logisticregression__class_weight': None, 'logisticregression__penalty': 'l2'}",0.8354638185215947,0.8473610101744186,0.846935994601329,0.8748476767676767,0.8540606060606062,0.851733821225125,0.013011670534429039,4,0.8779536738614587,0.8759770692819536,0.8754030727032649,0.8698850996649037,0.8743324559361664,0.8747102742895494,0.002684378395247836
0.5327030181884765,0.1556285811295725,0.05896282196044922,0.02105346582228616,0.01,balanced,l1,"{'logisticregression__C': 0.01, 'logisticregression__class_weight': 'balanced', 'logisticregression__penalty': 'l1'}",0.8360867421096346,0.8325211534468439,0.8381826204318936,0.8631531313131312,0.8408016161616161,0.8421490526926239,0.010845898231792737,15,0.8541992019099756,0.8533620898332981,0.8548260239847992,0.847521499877132,0.8519512312226167,0.8523720093655645,0.0026094281450660065
1.5483811855316163,0.5203847567676433,0.08395252227783204,0.04377204122434582,0.01,balanced,l2,"{'logisticregression__C': 0.01, 'logisticregression__class_weight': 'balanced', 'logisticregression__penalty': 'l2'}",0.8387439005398671,0.8472701671511628,0.8485160143272426,0.8729826262626261,0.8530230303030304,0.8521071477167859,0.011414845076081917,3,0.8826587861551053,0.8801717375095025,0.8797250483525326,0.8745346361192263,0.8788300533751632,0.879184052302306,0.0026489379089199667
2.033114433288574,0.9032861150185157,0.06133112907409668,0.04640896952074132,0.1,,l1,"{'logisticregression__C': 0.1, 'logisticregression__class_weight': None, 'logisticregression__penalty': 'l1'}",0.8380171563538208,0.8417579422757476,0.8526785714285715,0.8730278787878788,0.8553923232323233,0.8521747744156685,0.012283378483076288,2,0.876321143394708,0.8731933073132346,0.8720552315861654,0.8678940908080746,0.8719958364658094,0.8722919219135983,0.002703025294691796
3.013382577896118,1.0993864752334528,0.026584529876708986,0.004679182536158911,0.1,,l2,"{'logisticregression__C': 0.1, 'logisticregression__class_weight': None, 'logisticregression__penalty': 'l2'}",0.8335690926079733,0.844561098421927,0.8503101640365448,0.8699862626262627,0.8514779797979799,0.8499809194981374,0.01184302214430348,5,0.8857155810521219,0.8826371297256554,0.8830433395752426,0.877246443664761,0.8822411855619039,0.8821767359159368,0.0027494844861944453
1.736921215057373,0.5918779526708673,0.025405359268188477,0.0042917857451494216,0.1,balanced,l1,"{'logisticregression__C': 0.1, 'logisticregression__class_weight': 'balanced', 'logisticregression__penalty': 'l1'}",0.8390975394518272,0.8482564628322259,0.8502225654069767,0.8689519191919192,0.855010909090909,0.8523078791947716,0.009793937127696377,1,0.8826774066365015,0.8799335167855544,0.8793981779454161,0.8741762626284113,0.8786641359704274,0.8789698999932621,0.002754270707817484
3.8739046096801757,1.0205453530043012,0.02919306755065918,0.012855291382584033,0.1,balanced,l2,"{'logisticregression__C': 0.1, 'logisticregression__class_weight': 'balanced', 'logisticregression__penalty': 'l2'}",0.8363819819352161,0.8441263496677741,0.8473318106312293,0.8688129292929292,0.8500105050505049,0.8493327153155306,0.010758898581470715,6,0.8892581276377329,0.8866034946595649,0.886907899051084,0.8812448707920744,0.8858654375408084,0.8859759659362527,0.0026241324224677374
19.622920179367064,2.23940427981054,0.02817840576171875,0.008420365130309596,1.0,,l1,"{'logisticregression__C': 1.0, 'logisticregression__class_weight': None, 'logisticregression__penalty': 'l1'}",0.8313142389950168,0.842095359219269,0.8488144985465116,0.8672808080808082,0.8502529292929293,0.847951566826907,0.011753776692908353,7,0.8874438450808331,0.8845904587034155,0.8850124554828818,0.8790883497012171,0.8841213802302221,0.8840512978397139,0.002733483528469165
6.496958208084107,1.8406831487406639,0.048920488357543944,0.023676264335664055,1.0,,l2,"{'logisticregression__C': 1.0, 'logisticregression__class_weight': None, 'logisticregression__penalty': 'l2'}",0.8325243978405316,0.8413848370016611,0.847912557101329,0.8667797979797981,0.8487886868686869,0.8474780553584014,0.011271228842035496,8,0.8886201737533791,0.8859554209483654,0.8865132258041011,0.8804252104507302,0.8857410501335949,0.8854510162180343,0.0027117933587715703
22.541493606567382,6.004356868751806,0.03906407356262207,0.01908733098427425,1.0,balanced,l1,"{'logisticregression__C': 1.0, 'logisticregression__class_weight': 'balanced', 'logisticregression__penalty': 'l1'}",0.8341433502906976,0.8436299574335547,0.8445902979651163,0.865939393939394,0.847440808080808,0.8471487615419141,0.01040424525968296,9,0.8913828864822593,0.8889875234678785,0.889692268209414,0.8836242357720762,0.8883746597325752,0.8884123147328407,0.0025969428389188967
6.9750221252441404,1.1460303020094254,0.07605838775634766,0.052883231513174714,1.0,balanced,l2,"{'logisticregression__C': 1.0, 'logisticregression__class_weight': 'balanced', 'logisticregression__penalty': 'l2'}",0.8358499013704319,0.8389515417358804,0.8424327761627908,0.8660945454545455,0.8458892929292929,0.8458436115305883,0.010668749489131544,10,0.8919738843700489,0.8896272989210645,0.8901998787239949,0.8841412335948912,0.8890425836439474,0.8889969758507894,0.0026186477332332844
57.37979078292847,14.093397289538613,0.020740556716918945,0.004412719826196521,10.0,,l1,"{'logisticregression__C': 10.0, 'logisticregression__class_weight': None, 'logisticregression__penalty': 'l1'}",0.8341822830149503,0.8355546615448505,0.8448985153654486,0.8620509090909091,0.8442634343434344,0.8441899606719186,0.009942262616323243,12,0.8895315653591039,0.8875841058809149,0.8879617778187967,0.8820197597702358,0.8866534945669647,0.8867501406792032,0.0025410914891283607
