mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__colsample_bytree,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__n_estimators,param_xgbclassifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.461778450012207,0.013710738111388449,0.017853784561157226,0.000957102258146156,0.8,0.01,4,100,0.8,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 4, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__subsample': 0.8}",0.8408462676495017,0.8257517260174418,0.842995678467608,0.8544339393939394,0.8284218181818183,0.8384898859420618,0.010427792174768398,103,0.8935631019778999,0.8937644865321297,0.8937204652853508,0.8913921685769453,0.8962553312868161,0.8937391107318282,0.0015408746882913597
0.5623244762420654,0.06946607882815861,0.020563650131225585,0.004195963945136202,0.8,0.01,4,100,1.0,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 4, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__subsample': 1.0}",0.8365847565406976,0.8226971293604651,0.8367210210755814,0.8470335353535354,0.8220896969696968,0.8330252278599953,0.009474357658684388,107,0.8892892967044177,0.8915764787698177,0.8908218432819328,0.8872676320669115,0.8936726719043084,0.8905255845454777,0.0021558742418025137
0.9018394470214843,0.04582305025070989,0.018299579620361328,0.0015476022471695554,0.8,0.01,4,200,0.8,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 4, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__subsample': 0.8}",0.8491681374584718,0.8353145764119602,0.8513321480481727,0.8670901010101009,0.8418682828282827,0.8489546491513977,0.010685137943735575,91,0.9150906048337151,0.9156820075145787,0.9161649256516562,0.9134028646784534,0.9174353261451998,0.9155551457647206,0.001324470900254903
1.0370893955230713,0.16884034917547494,0.01685495376586914,0.005024277281083908,0.8,0.01,4,200,1.0,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 4, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__subsample': 1.0}",0.8451094009551495,0.8323394674003322,0.8465856000830565,0.8605898989898989,0.8356977777777778,0.8440644290412429,0.009879423116681834,99,0.9128136437934293,0.9149277768197676,0.9136013711150998,0.9106039454307988,0.9158362186552343,0.9135565911628658,0.0018082557599313027
1.272287130355835,0.07913304237078828,0.016168880462646484,0.003363603430895072,0.8,0.01,4,300,0.8,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 4, 'xgbclassifier__n_estimators': 300, 'xgbclassifier__subsample': 0.8}",0.8552286648671097,0.8428383253737541,0.8563317587209303,0.875410101010101,0.8494092929292928,0.8558436285802375,0.010899558537050099,27,0.9315294539584311,0.9330880084909394,0.9338329289450525,0.9308600497833248,0.933859123360502,0.93263391290765,0.0012256755577916784
1.2572178363800048,0.06319711769776597,0.020875024795532226,0.0034421904394746506,0.8,0.01,4,300,1.0,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 4, 'xgbclassifier__n_estimators': 300, 'xgbclassifier__subsample': 1.0}",0.8526331499169435,0.8386627906976745,0.8515300560631229,0.8694109090909091,0.8441696969696969,0.8512813205476693,0.010395900906005564,84,0.9305866908894842,0.9329425865791666,0.9319860605457095,0.9288406789769683,0.9334270088009156,0.9315566051584488,0.001668578732117096
0.7992410659790039,0.023667255644170295,0.019454383850097658,0.0019877496861650233,0.8,0.01,6,100,0.8,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 6, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__subsample': 0.8}",0.8488501868770764,0.8327547497923588,0.8472215012458472,0.8611652525252524,0.8345131313131313,0.8449009643507331,0.010401403012893294,98,0.9566745925150523,0.9585850134269862,0.9592452309304006,0.9560905362049401,0.9600839999910862,0.9581358746136932,0.0015196278607077752
0.883198356628418,0.0488242034800943,0.017612981796264648,0.0026824081491088,0.8,0.01,6,100,1.0,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 6, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__subsample': 1.0}",0.8474648307724253,0.8272230585548174,0.8464996236503323,0.8570440404040405,0.8269478787878788,0.8410358864338988,0.01197255959819221,102,0.9583695623134411,0.9584293704900991,0.9615416220382302,0.9545220191033937,0.9623729106106309,0.9590470969111591,0.0027785125733706764
1.5677352905273438,0.05827387157524187,0.017789697647094725,0.00398963335303436,0.8,0.01,6,200,0.8,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 6, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__subsample': 0.8}",0.8572499221345515,0.8408819559800664,0.8554460392441859,0.8708428282828282,0.8432484848484848,0.8535338460980233,0.010797458475046316,63,0.9761163990579655,0.9775113159903789,0.9782156559388405,0.9760837860609527,0.9786312968845817,0.977311690786544,0.0010521250689997336
1.6384894847869873,0.07463420274914413,0.019914627075195312,0.004391761801093172,0.8,0.01,6,200,1.0,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 6, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__subsample': 1.0}",0.8538919746677741,0.8368621522009967,0.8553551962209303,0.868751515151515,0.8357268686868687,0.8501175413856169,0.01242337439057328,87,0.978961082384296,0.9798878561268266,0.9813493615198846,0.9777464040593243,0.9821058382870517,0.9800101084754766,0.0015764162661249027
